PPCName,S1,S2,S3,S4,S5
p01_geocnn_r01,0.066036,0.13349,0.23573,0.93845,1
p01_geocnn_r02,0.12134,0.25735,0.31381,0.92691,1
p01_geocnn_r03,0.1945,0.4604,0.33678,0.93107,1
p01_geocnn_r04,0.30097,0.57182,0.36163,0.92093,1
p01_gpcc-octree-predlift_r02,0.18782,0.41232,0.067085,0.77015,0.89458
p01_gpcc-octree-predlift_r03,0.40183,0.66952,0.18047,0.97253,0.99771
p01_gpcc-octree-predlift_r04,0.66739,0.85731,0.3544,0.97925,0.99926
p01_gpcc-octree-predlift_r05,0.74717,0.89762,0.63962,0.99757,0.99977
p01_gpcc-octree-predlift_r06,0.7791,0.91418,0.80066,0.98685,0.99993
p01_gpcc-octree-raht_r02,0.18782,0.41232,0.050659,0.76194,0.89458
p01_gpcc-octree-raht_r03,0.40183,0.66952,0.14439,0.95032,0.99771
p01_gpcc-octree-raht_r04,0.66739,0.85731,0.29126,0.98663,0.99926
p01_gpcc-octree-raht_r05,0.74717,0.89762,0.56469,0.99762,0.99977
p01_gpcc-octree-raht_r06,0.7791,0.91418,0.73896,0.98311,0.99993
p01_vpcc_r00,0.18531,0.35309,0.064038,0.67489,1
p01_vpcc_r01,0.21469,0.39736,0.083914,0.6906,1
p01_vpcc_r02,0.24208,0.43375,0.10796,0.71944,1
p01_vpcc_r03,0.2648,0.46498,0.16152,0.80076,1
p01_vpcc_r04,0.28309,0.48744,0.25195,0.88792,1
p01_vpcc_r05,0.47286,0.66132,0.39461,0.98274,1
p05_geocnn_r01,0.32883,0.47263,0.58475,0.89853,1
p05_geocnn_r02,0.4483,0.64356,0.63003,0.91365,1
p05_geocnn_r03,0.52868,0.72665,0.66601,0.90451,1
p05_geocnn_r04,0.54285,0.81214,0.64997,0.90775,1
p05_gpcc-octree-predlift_r02,0.20925,0.42022,0.11863,0.64074,0.31994
p05_gpcc-octree-predlift_r03,0.41713,0.70561,0.23936,0.81444,0.82902
p05_gpcc-octree-predlift_r04,0.66886,0.85454,0.46255,0.99716,0.92788
p05_gpcc-octree-predlift_r05,0.7511,0.90107,0.67247,0.95778,0.96794
p05_gpcc-octree-predlift_r06,0.77634,0.91108,0.84227,0.98981,0.98408
p05_gpcc-octree-raht_r02,0.20925,0.42022,0.099429,0.6487,0.31994
p05_gpcc-octree-raht_r03,0.41713,0.70561,0.20448,0.80833,0.82902
p05_gpcc-octree-raht_r04,0.66886,0.85454,0.36296,0.9393,0.92788
p05_gpcc-octree-raht_r05,0.7511,0.90107,0.60649,0.99532,0.96794
p05_gpcc-octree-raht_r06,0.77634,0.91108,0.78646,0.97649,0.98408
p05_vpcc_r00,0.36321,0.51247,0.15574,0.69253,1
p05_vpcc_r01,0.42978,0.60384,0.20483,0.71559,1
p05_vpcc_r02,0.47433,0.65356,0.25948,0.73576,1
p05_vpcc_r03,0.50541,0.69278,0.3286,0.78172,1
p05_vpcc_r04,0.53151,0.71643,0.43052,0.87881,1
p05_vpcc_r05,0.57219,0.76409,0.60362,0.98427,1
p07_geocnn_r01,0.34148,0.48301,0.62297,0.99402,1
p07_geocnn_r02,0.47162,0.68819,0.62827,0.99966,1
p07_geocnn_r03,0.56039,0.76072,0.68186,0.98692,1
p07_geocnn_r04,0.54327,0.81347,0.65785,0.99441,1
p07_gpcc-octree-predlift_r02,0.21379,0.44011,0.10189,0.5665,0.30437
p07_gpcc-octree-predlift_r03,0.41777,0.70388,0.17365,0.70142,0.81522
p07_gpcc-octree-predlift_r04,0.67372,0.86381,0.3529,0.91176,0.92153
p07_gpcc-octree-predlift_r05,0.75176,0.90263,0.59166,0.98176,0.96519
p07_gpcc-octree-predlift_r06,0.779,0.91434,0.80449,0.96908,0.98608
p07_gpcc-octree-raht_r02,0.21379,0.44011,0.089424,0.56719,0.30437
p07_gpcc-octree-raht_r03,0.41777,0.70388,0.14427,0.69012,0.81522
p07_gpcc-octree-raht_r04,0.67372,0.86381,0.26403,0.86963,0.92153
p07_gpcc-octree-raht_r05,0.75176,0.90263,0.51226,0.97784,0.96519
p07_gpcc-octree-raht_r06,0.779,0.91434,0.73779,0.95453,0.98608
p07_vpcc_r00,0.35119,0.49947,0.1071,0.58316,1
p07_vpcc_r01,0.41596,0.58365,0.13431,0.61154,1
p07_vpcc_r02,0.46687,0.64005,0.17809,0.65441,1
p07_vpcc_r03,0.50655,0.68546,0.23819,0.72222,1
p07_vpcc_r04,0.53236,0.70927,0.34209,0.84348,1
p07_vpcc_r05,0.57284,0.75876,0.54895,0.96303,1
p12_geocnn_r01,0.81396,0.86176,0.73648,0.78942,1
p12_geocnn_r02,0.86048,0.90449,0.7656,0.77958,1
