PPCName,S1,S2,S3,S4,S5
p03_geocnn_r01,0.34533,0.496,0.35027,0.91087,1
p03_geocnn_r02,0.45085,0.65662,0.37797,0.91189,1
p03_geocnn_r03,0.53916,0.74931,0.42713,0.90469,1
p03_geocnn_r04,0.546,0.80401,0.42341,0.91659,1
p03_gpcc-octree-predlift_r02,0.21288,0.43466,0.05962,0.66196,0.31454
p03_gpcc-octree-predlift_r03,0.41546,0.70091,0.15415,0.88459,0.83055
p03_gpcc-octree-predlift_r04,0.67265,0.86185,0.36997,0.982,0.9273
p03_gpcc-octree-predlift_r05,0.75163,0.90186,0.5956,0.97372,0.96677
p03_gpcc-octree-predlift_r06,0.77957,0.91515,0.79422,0.99314,0.98366
p03_gpcc-octree-raht_r02,0.21288,0.43466,0.055843,0.67254,0.31454
p03_gpcc-octree-raht_r03,0.41546,0.70091,0.13339,0.86357,0.83055
p03_gpcc-octree-raht_r04,0.67265,0.86185,0.28414,0.9894,0.9273
p03_gpcc-octree-raht_r05,0.75163,0.90186,0.52401,0.98603,0.96677
p03_gpcc-octree-raht_r06,0.77957,0.91515,0.73322,0.9878,0.98366
p03_vpcc_r00,0.30662,0.41161,0.077315,0.69341,1
p03_vpcc_r01,0.37153,0.49825,0.10982,0.74049,1
p03_vpcc_r02,0.41888,0.5437,0.15943,0.8056,1
p03_vpcc_r03,0.46234,0.59651,0.23313,0.89777,1
p03_vpcc_r04,0.49102,0.62444,0.33683,0.96497,1
p03_vpcc_r05,0.53566,0.68006,0.50418,0.98527,1
p06_geocnn_r01,0.38943,0.54293,0.69908,0.95736,1
p06_geocnn_r02,0.49045,0.6992,0.73552,0.95762,1
p06_geocnn_r03,0.57499,0.77584,0.75749,0.9557,1
p06_geocnn_r04,0.55825,0.83504,0.73737,0.96267,1
p06_gpcc-octree-predlift_r02,0.21427,0.43121,0.12266,0.5759,0.28925
p06_gpcc-octree-predlift_r03,0.41699,0.70374,0.17252,0.71189,0.82151
p06_gpcc-octree-predlift_r04,0.67324,0.86228,0.29463,0.88349,0.92132
p06_gpcc-octree-predlift_r05,0.75239,0.90298,0.62597,0.98129,0.9652
p06_gpcc-octree-predlift_r06,0.77879,0.91381,0.77944,0.98101,0.98352
p06_gpcc-octree-raht_r02,0.21427,0.43121,0.11566,0.58093,0.28925
p06_gpcc-octree-raht_r03,0.41699,0.70374,0.15649,0.70069,0.82151
p06_gpcc-octree-raht_r04,0.67324,0.86228,0.2103,0.84914,0.92132
p06_gpcc-octree-raht_r05,0.75239,0.90298,0.44524,0.9849,0.9652
p06_gpcc-octree-raht_r06,0.77879,0.91381,0.70162,0.95987,0.98352
p06_vpcc_r00,0.39894,0.56137,0.13175,0.61566,1
p06_vpcc_r01,0.46166,0.64539,0.15011,0.64171,1
p06_vpcc_r02,0.50544,0.69925,0.17721,0.68004,1
p06_vpcc_r03,0.53533,0.73589,0.22267,0.72292,1
p06_vpcc_r04,0.55777,0.75936,0.29954,0.79682,1
p06_vpcc_r05,0.59275,0.79379,0.52053,0.95356,1
p08_geocnn_r01,0.33858,0.49026,0.6654,0.93482,1
p08_geocnn_r02,0.45971,0.6768,0.73006,0.9447,1
p08_geocnn_r03,0.54729,0.75702,0.74954,0.95156,1
p08_geocnn_r04,0.53501,0.81049,0.72142,0.95625,1
p08_gpcc-octree-predlift_r02,0.21155,0.43339,0.11895,0.60027,0.3139
p08_gpcc-octree-predlift_r03,0.41453,0.69695,0.1848,0.741,0.82161
p08_gpcc-octree-predlift_r04,0.67208,0.86094,0.31579,0.9279,0.92419
p08_gpcc-octree-predlift_r05,0.7517,0.90181,0.54122,0.94495,0.96539
p08_gpcc-octree-predlift_r06,0.77901,0.91444,0.77858,0.99662,0.9837
