split,src,ppc,mos,ci
Test,p01,p01_geocnn_r01,1.079650616,0.150916191
Test,p01,p01_geocnn_r02,1.057185451,0.074600076
Test,p01,p01_geocnn_r03,3.759313116,0.252761321
Test,p01,p01_geocnn_r04,3.754941272,0.247020501
Test,p01,p01_gpcc-octree-predlift_r02,2.10577713,0.211778689
Test,p01,p01_gpcc-octree-predlift_r03,3.361438653,0.201962057
Test,p01,p01_gpcc-octree-predlift_r04,3.764877812,0.197177927
Test,p01,p01_gpcc-octree-predlift_r05,4.253538797,0.191047503
Test,p01,p01_gpcc-octree-predlift_r06,4.267853103,0.178414424
Test,p01,p01_gpcc-octree-raht_r02,1.640837245,0.164772768
Test,p01,p01_gpcc-octree-raht_r03,3.127493275,0.186652753
Test,p01,p01_gpcc-octree-raht_r04,3.848859276,0.19239355
Test,p01,p01_gpcc-octree-raht_r05,4.600221832,0.155339795
Test,p01,p01_gpcc-octree-raht_r06,4.541709218,0.133849084
Test,p01,p01_vpcc_r00,2.106820791,0.218381246
Test,p01,p01_vpcc_r01,2.789528824,0.218574305
Test,p01,p01_vpcc_r02,3.054361367,0.217047188
Test,p01,p01_vpcc_r03,3.138312381,0.195548232
Test,p01,p01_vpcc_r04,3.388373001,0.198541137
Test,p01,p01_vpcc_r05,3.945140631,0.175287058
Test,p05,p05_geocnn_r01,1.824295578,0.171698687
Test,p05,p05_geocnn_r02,2.699776641,0.20289578
Test,p05,p05_geocnn_r03,3.286476199,0.216487437
Test,p05,p05_geocnn_r04,3.000590654,0.185144013
Test,p05,p05_gpcc-octree-predlift_r02,1.468168702,0.174669351
Test,p05,p05_gpcc-octree-predlift_r03,2.936357398,0.152649171
Test,p05,p05_gpcc-octree-predlift_r04,3.526917089,0.157348483
Test,p05,p05_gpcc-octree-predlift_r05,3.941627292,0.161287586
Test,p05,p05_gpcc-octree-predlift_r06,4.185825236,0.149778579
Test,p05,p05_gpcc-octree-raht_r02,1.337513808,0.156353678
Test,p05,p05_gpcc-octree-raht_r03,2.537219445,0.155728153
Test,p05,p05_gpcc-octree-raht_r04,3.32377992,0.15999099
Test,p05,p05_gpcc-octree-raht_r05,3.965411157,0.150109881
Test,p05,p05_gpcc-octree-raht_r06,4.229402555,0.143687074
Test,p05,p05_vpcc_r00,1.941959996,0.202623554
Test,p05,p05_vpcc_r01,2.62508473,0.172804906
Test,p05,p05_vpcc_r02,2.907098425,0.163770918
Test,p05,p05_vpcc_r03,3.379222859,0.164181573
Test,p05,p05_vpcc_r04,3.39391684,0.149117687
Test,p05,p05_vpcc_r05,3.703262717,0.167559738
Test,p07,p07_geocnn_r01,2.690543988,0.216440397
Test,p07,p07_geocnn_r02,3.239723119,0.167864358
Test,p07,p07_geocnn_r03,4.100585412,0.164015904
Test,p07,p07_geocnn_r04,4.062528369,0.16831393
Test,p07,p07_gpcc-octree-predlift_r02,1.401941613,0.165091237
Test,p07,p07_gpcc-octree-predlift_r03,2.664384082,0.186343187
Test,p07,p07_gpcc-octree-predlift_r04,3.73758783,0.159145998
Test,p07,p07_gpcc-octree-predlift_r05,4.220238452,0.135701422
Test,p07,p07_gpcc-octree-predlift_r06,4.607404622,0.139080204
Test,p07,p07_gpcc-octree-raht_r02,1.245858544,0.142959664
Test,p07,p07_gpcc-octree-raht_r03,2.336955342,0.181740729
Test,p07,p07_gpcc-octree-raht_r04,3.214282756,0.148446839
Test,p07,p07_gpcc-octree-raht_r05,4.318583015,0.136367441
Test,p07,p07_gpcc-octree-raht_r06,4.477436808,0.128225242
Test,p07,p07_vpcc_r00,1.694025541,0.167156984
Test,p07,p07_vpcc_r01,2.043938726,0.192162355
Test,p07,p07_vpcc_r02,2.767239517,0.167290904
Test,p07,p07_vpcc_r03,2.81291795,0.187855893
Test,p07,p07_vpcc_r04,3.426279779,0.126115517
Test,p07,p07_vpcc_r05,3.741378541,0.148269948
Test,p12,p12_geocnn_r01,4.004743764,0.155681209
Test,p12,p12_geocnn_r02,4.508023762,0.106110238
Test,p12,p12_geocnn_r03,4.683268972,0.085534237
Test,p12,p12_geocnn_r04,4.584501777,0.104182285
Test,p12,p12_gpcc-octree-predlift_r02,1.12023301,0.181201661
Test,p12,p12_gpcc-octree-predlift_r03,2.60103778,0.164485799
Test,p12,p12_gpcc-octree-predlift_r04,4.376467069,0.127008706
Test,p12,p12_gpcc-octree-predlift_r05,4.374841898,0.12438564
Test,p12,p12_gpcc-octree-predlift_r06,4.560960805,0.133615355
Test,p12,p12_gpcc-octree-raht_r02,1.073013545,0.114095326
Test,p12,p12_gpcc-octree-raht_r03,2.384475294,0.164050996
Test,p12,p12_gpcc-octree-raht_r04,4.166650611,0.127519527
Test,p12,p12_gpcc-octree-raht_r05,4.324023611,0.144545199
Test,p12,p12_gpcc-octree-raht_r06,4.653177178,0.127136317
Test,p12,p12_vpcc_r00,1.538794575,0.17679691
Test,p12,p12_vpcc_r01,2.529579896,0.161130843
Test,p12,p12_vpcc_r02,3.634924067,0.170095382
Test,p12,p12_vpcc_r03,4.2143288,0.143648872
Test,p12,p12_vpcc_r04,4.675421878,0.110321026
Test,p12,p12_vpcc_r05,4.577799137,0.124592822
Test,p19,p19_geocnn_r01,4.500172289,0.129266419
Test,p19,p19_geocnn_r02,4.768703155,0.094286977
Test,p19,p19_geocnn_r03,4.765387763,0.092404776
Test,p19,p19_geocnn_r04,4.756210344,0.076868245
Test,p19,p19_gpcc-octree-predlift_r02,1.55720854,0.173483824
Test,p19,p19_gpcc-octree-predlift_r03,3.259934112,0.159651991
Test,p19,p19_gpcc-octree-predlift_r04,4.702748772,0.095181958
Test,p19,p19_gpcc-octree-predlift_r05,4.7671284,0.083855208
Test,p19,p19_gpcc-octree-predlift_r06,4.774380397,0.105237359
Test,p19,p19_gpcc-octree-raht_r02,1.450345998,0.174513294
Test,p19,p19_gpcc-octree-raht_r03,2.843957503,0.175310983
Test,p19,p19_gpcc-octree-raht_r04,4.407436192,0.168476702
Test,p19,p19_gpcc-octree-raht_r05,4.685190766,0.105999469
Test,p19,p19_gpcc-octree-raht_r06,4.834236123,0.087740633
Test,p19,p19_vpcc_r00,1.766439047,0.160328882
Test,p19,p19_vpcc_r01,2.461122742,0.214929295
Test,p19,p19_vpcc_r02,3.877446044,0.179071663
Test,p19,p19_vpcc_r03,4.530490415,0.122787877
Test,p19,p19_vpcc_r04,4.821499311,0.087990107
Test,p19,p19_vpcc_r05,4.746732117,0.087764487
Test,p29,p29_geocnn_r01,2.372615114,0.195138262
Test,p29,p29_geocnn_r02,3.048274387,0.212025506
Test,p29,p29_geocnn_r03,3.363508295,0.213550638
Test,p29,p29_geocnn_r04,3.642376507,0.188562786
Test,p29,p29_gpcc-octree-predlift_r02,1.736680349,0.165814825
Test,p29,p29_gpcc-octree-predlift_r03,3.050545964,0.19951831
Test,p29,p29_gpcc-octree-predlift_r04,4.419983183,0.117819413
Test,p29,p29_gpcc-octree-predlift_r05,4.474141122,0.164482595
Test,p29,p29_gpcc-octree-predlift_r06,4.450378451,0.152416096
Test,p29,p29_gpcc-octree-raht_r02,1.595355938,0.192034999
Test,p29,p29_gpcc-octree-raht_r03,3.143863256,0.156523962
